filename,num_frames,duration_s,occluded_count,occluded_fraction,num_runs,mean_run_frames,max_run_frames,isolated_runs,short_runs,medium_runs,long_runs,window_1s_mean_count,window_1s_fano,window_5s_mean_count,window_5s_fano,has_occlusion
trajectory_data123.hdf5,633,30.696752071380615,90,0.14218009478672985,21,4.285714285714286,12,4,11,6,0,2.903225806451613,5.296774193548387,12.857142857142858,12.431746031746032,1
trajectory_data124.hdf5,897,43.558385372161865,94,0.10479375696767002,24,3.9166666666666665,24,6,12,5,1,2.1363636363636362,6.480657640232107,10.444444444444445,8.534278959810875,1
trajectory_data125.hdf5,78,3.7439987659454346,2,0.02564102564102564,1,2.0,2,0,1,0,0,0.5,1.5,2.0,0.0,1
trajectory_data126.hdf5,493,24.030714511871338,16,0.032454361054766734,7,2.2857142857142856,5,3,4,0,0,0.64,3.61,3.2,1.925,1
trajectory_data128.hdf5,162,7.86802077293396,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
trajectory_data129.hdf5,425,20.635282516479492,11,0.02588235294117647,7,1.5714285714285714,3,4,3,0,0,0.5238095238095238,1.385281385281385,2.2,0.9818181818181818,1
trajectory_data130.hdf5,101,4.887660980224609,3,0.0297029702970297,2,1.5,2,1,1,0,0,0.6,1.0666666666666667,3.0,0.0,1
trajectory_data132.hdf5,94,4.533884048461914,2,0.02127659574468085,1,2.0,2,0,1,0,0,0.4,1.6000000000000005,2.0,0.0,1
trajectory_data133.hdf5,53,2.538429021835327,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
trajectory_data136.hdf5,231,11.231364727020264,35,0.15151515151515152,10,3.5,8,2,6,2,0,2.9166666666666665,3.16904761904762,11.666666666666666,6.19047619047619,1
trajectory_data137.hdf5,313,15.200073003768921,42,0.134185303514377,9,4.666666666666667,13,3,3,3,0,2.625,4.470238095238095,10.5,2.738095238095238,1
trajectory_data139.hdf5,247,11.996400356292725,18,0.0728744939271255,5,3.6,13,3,1,1,0,1.5,11.277777777777779,6.0,7.0,1
trajectory_data14.hdf5,68,3.1499361991882324,28,0.4117647058823529,4,7.0,22,1,2,0,1,7.0,6.428571428571429,28.0,0.0,1
trajectory_data140.hdf5,172,8.360328912734985,5,0.029069767441860465,3,1.6666666666666667,3,2,1,0,0,0.5555555555555556,1.6444444444444444,2.5,0.9,1
trajectory_data141.hdf5,78,3.7524430751800537,1,0.01282051282051282,1,1.0,1,1,0,0,0,0.25,0.75,1.0,0.0,1
trajectory_data143.hdf5,85,4.0999555587768555,2,0.023529411764705882,2,1.0,1,2,0,0,0,0.4,0.6000000000000001,2.0,0.0,1
trajectory_data144.hdf5,78,3.7575666904449463,5,0.0641025641025641,3,1.6666666666666667,3,2,1,0,0,1.25,0.95,5.0,0.0,1
trajectory_data145.hdf5,119,5.750782251358032,6,0.05042016806722689,1,6.0,6,0,0,1,0,1.0,5.0,3.0,3.0,1
trajectory_data146.hdf5,81,3.894453287124634,5,0.06172839506172839,3,1.6666666666666667,2,1,2,0,0,1.25,2.15,5.0,0.0,1
